good_id,product,subgroup,group,department
8090100001,ЗОЛОТАЯ БОЧКА св.пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100002,ЗОЛ.БОЧ.классика пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100003,ЗОЛОТАЯ БОЧКАвыд.пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100004,STAROPRAMEN      пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100005,HOLSTEN Калуга св.пив0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100006,HOLSTEN Калуга  пиво0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100007,MILLER бут.     пиво0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100008,БАЛТИКА1 светлое пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100009,БАЛТИКА3 классич.пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100010,БАЛТИКА4 темное  пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100011,ТРИ БОГАТЫРЯ св. пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100012,БАЛТИКА6 порт.бут.пив0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100014,БАЛТИКА9 крепкое пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100015,БАЛТИКА10 юбил. пиво0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100016,КЛИНСКОЕ спец.  пиво 0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100017,КЛИНСКОЕ светлое пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100018,КЛИНСКОЕ ямское пиво 0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100019,КЛИНСКОЕ зол.св.пиво0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100020,КЛИНСКОЕ люкс   пиво0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100021,КЛИНСКОЕ престиж.пив0.33L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
8090100022,ЯРПИВО оригинал. пиво0.5L,"Пиво отечествен.емк.0,5л и менее",Пиво,Пиво
