date,good_id,shop_id,supplier_id,quantity,avg_price,sup_stock,sale_price,sale_quantity,sale_amount,sale_sup
2004-05-01,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-02,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-03,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-04,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-05,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-06,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-07,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-08,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-09,8090100003,100,1019,61,13.3,811.3,17.96,0,0.0,0.0
2004-05-10,8090100003,100,1019,58,13.3,771.4,17.96,3,53.88,39.9
2004-05-11,8090100003,100,1019,58,13.3,771.4,17.96,0,0.0,0.0
2004-05-12,8090100003,100,1019,58,13.3,771.4,17.96,0,0.0,0.0
2004-05-13,8090100003,100,1019,58,13.3,771.4,17.96,0,0.0,0.0
2004-05-14,8090100003,100,1019,56,13.3,744.8,17.96,2,35.92,26.6
2004-05-15,8090100003,100,1019,56,13.3,744.8,17.96,0,0.0,0.0
2004-05-16,8090100003,100,1019,54,13.3,718.2,17.96,2,35.92,26.6
2004-05-17,8090100003,100,1019,54,13.3,718.2,17.96,0,0.0,0.0
2004-05-17,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-18,8090100003,100,1019,54,13.3,718.2,17.96,0,0.0,0.0
2004-05-18,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-19,8090100003,100,1019,53,13.3,704.9,17.96,1,17.96,13.3
2004-05-19,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-20,8090100003,100,1019,51,13.3,678.3,17.96,2,35.92,26.6
2004-05-20,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-21,8090100003,100,1019,51,13.3,678.3,17.96,0,0.0,0.0
2004-05-21,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-22,8090100003,100,1019,50,13.3,665.0,17.96,1,17.96,13.3
2004-05-22,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-23,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-23,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-24,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-24,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-25,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-25,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-26,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-26,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-27,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-27,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-28,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-28,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-29,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-29,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-30,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-30,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-31,8090100003,100,1019,50,13.3,665.0,17.96,0,0.0,0.0
2004-05-31,8090100003,100,100,1,13.3,13.3,17.96,0,0.0,0.0
2004-05-01,8090100005,100,1019,35,18.58,619.5,23.9,3,71.7,53.1
2004-05-02,8090100005,100,1019,34,18.58,601.8,23.9,1,23.9,17.7
2004-05-03,8090100005,100,1019,32,18.58,566.4,23.9,2,47.8,35.4
2004-05-04,8090100005,100,1019,31,18.58,548.7,23.9,1,23.9,17.7
2004-05-05,8090100005,100,1019,28,18.58,495.6,23.9,3,71.7,53.1
2004-05-06,8090100005,100,1019,28,18.58,495.6,23.9,0,0.0,0.0
2004-05-07,8090100005,100,1019,28,18.58,495.6,23.9,0,0.0,0.0
2004-05-08,8090100005,100,1019,22,18.58,389.4,23.9,6,143.4,106.2
2004-05-09,8090100005,100,1019,22,18.58,389.4,23.9,0,0.0,0.0
2004-05-10,8090100005,100,1019,20,18.58,354.0,23.9,2,47.8,35.4
2004-05-11,8090100005,100,1019,20,18.58,354.0,23.9,0,0.0,0.0
2004-05-12,8090100005,100,1019,15,18.58,265.5,23.9,5,119.5,88.5
2004-05-13,8090100005,100,1019,14,18.58,247.8,23.9,1,23.9,17.7
2004-05-14,8090100005,100,1019,33,18.58,606.1,25.4,1,25.4,17.7
2004-05-15,8090100005,100,1019,24,18.58,446.8,25.4,9,228.6,159.3
2004-05-16,8090100005,100,1019,22,18.58,411.4,25.4,2,50.8,35.4
2004-05-17,8090100005,100,1019,21,18.58,393.7,25.4,1,25.4,17.7
2004-05-18,8090100005,100,1019,21,18.58,393.7,25.4,0,0.0,0.0
2004-05-19,8090100005,100,1019,37,18.58,695.6,25.4,4,101.6,74.1
2004-05-20,8090100005,100,1019,37,18.58,695.6,25.4,0,0.0,0.0
2004-05-21,8090100005,100,1019,32,18.58,601.6,25.4,5,127.0,94.0
2004-05-22,8090100005,100,1019,30,18.58,564.0,25.4,2,50.8,37.6
2004-05-23,8090100005,100,1019,27,18.58,507.6,25.4,3,76.2,56.4
2004-05-24,8090100005,100,1019,8,18.58,150.4,25.4,19,482.6,357.2
2004-05-25,8090100005,100,1019,23,18.58,432.4,25.4,5,127.0,94.0
2004-05-26,8090100005,100,1019,20,18.58,376.0,25.4,3,76.2,56.4
2004-05-27,8090100005,100,1019,18,18.58,338.4,25.4,2,50.8,37.6
2004-05-28,8090100005,100,1019,15,18.58,282.0,25.4,3,76.2,56.4
